uuid,timestamp,value,true_label,predicted_anomaly,threshold,is_above_threshold
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967120,17869702.85155864,1,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967127,41076880.0,0,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967142,42670984.0,0,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967157,43968384.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967172,45445944.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967187,35400952.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967202,36764656.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967217,38689224.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967232,59390236.18905107,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967232,41244872.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967247,43008736.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967262,48860904.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967277,50289064.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967281,11284860.368272554,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967292,51641400.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967307,29909912.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967322,31180664.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967337,32693776.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967352,33964280.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967367,35434024.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967375,65054875.57600389,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967382,36779440.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967397,38262016.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967412,39570520.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967427,29827008.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967442,31161856.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967457,32603960.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967460,64175066.05358304,1,1,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967472,34039200.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967487,35352848.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967502,36781152.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967517,38226448.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967532,39637072.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967547,29828192.0,0,0,2761158.134973797,1
e916f0b7-4230-5daf-ae9d-be3c2fbcd42f,1749967562,31175648.0,0,0,2761158.134973797,1
